description,best_ev
Dealt royal flush,800
Dealt straight flush,50
Dealt four of a kind,25
4 to a royal flush,19.6809
4 to a royal flush,19.6596
4 to a royal flush,19.5957
4 to a royal flush,19.5532
4 to a royal flush,18.5532
4 to a royal flush,18.5319
4 to a royal flush,18.4894
4 to a royal flush,18.4681
4 to a royal flush,18.4255
4 to a royal flush,18.4043
4 to a royal flush,18.3617
Dealt full house,9
Dealt flush,6
3 of a kind,4.3025
Dealt straight,4
4 to a straight flush,3.65957
4 to a straight flush,3.6383
4 to a straight flush,3.59575
4 to a straight flush,3.57447
4 to a straight flush,3.53191
Two pair,2.59575
4 to a straight flush,2.53191
4 to a straight flush,2.51064
4 to a straight flush,2.46809
4 to a straight flush,2.44681
4 to a straight flush,2.40425
4 to a flush,2.40425
4 to a straight flush,2.38298
4 to a flush,2.38298
4 to a straight flush,2.34043
High pair,1.53654
3 to a royal flush,1.53284
3 to a royal flush,1.52914
3 to a royal flush,1.51804
3 to a royal flush,1.51526
3 to a royal flush,1.51434
3 to a royal flush,1.51156
3 to a royal flush,1.50324
3 to a royal flush,1.50046
3 to a royal flush,1.49954
3 to a royal flush,1.49676
3 to a royal flush,1.48844
3 to a royal flush,1.48566
3 to a royal flush,1.48289
3 to a royal flush,1.48196
3 to a royal flush,1.47919
3 to a royal flush,1.47364
3 to a royal flush,1.46994
3 to a royal flush,1.46809
3 to a royal flush,1.46531
3 to a royal flush,1.46439
3 to a royal flush,1.46161
3 to a royal flush,1.45328
3 to a royal flush,1.44958
3 to a royal flush,1.44681
3 to a royal flush,1.43663
3 to a royal flush,1.43293
3 to a royal flush,1.42183
3 to a royal flush,1.41906
3 to a royal flush,1.41813
3 to a royal flush,1.41536
3 to a royal flush,1.40703
3 to a royal flush,1.40426
3 to a royal flush,1.40333
3 to a royal flush,1.40056
3 to a royal flush,1.38945
3 to a royal flush,1.38668
3 to a royal flush,1.38298
3 to a royal flush,1.37188
3 to a royal flush,1.3691
3 to a royal flush,1.36818
3 to a royal flush,1.3654
3 to a royal flush,1.3506
3 to a royal flush,1.33672
3 to a royal flush,1.32562
3 to a royal flush,1.31915
3 to a royal flush,1.30805
3 to a royal flush,1.28677
4 to a flush,1.2766
4 to a flush,1.21277
4 to a flush,1.14894
Unsuited TJQK,0.87234
Low pair,0.823682
4 to an outside straight with 0-2 high cards,0.808511
4 to an outside straight with 0-2 high cards,0.744681
3 to a straight flush (type 1),0.73913
3 to a straight flush (type 1),0.736355
3 to a straight flush (type 1),0.73543
3 to a straight flush (type 1),0.732655
3 to a straight flush (type 1),0.724329
3 to a straight flush (type 1),0.721554
3 to a straight flush (type 1),0.720629
3 to a straight flush (type 1),0.718779
3 to a straight flush (type 1),0.717854
3 to a straight flush (type 1),0.715079
3 to a straight flush (type 1),0.706753
3 to a straight flush (type 1),0.703053
4 to an outside straight with 0-2 high cards,0.680851
3 to a straight flush (type 1),0.642923
3 to a straight flush (type 1),0.640148
3 to a straight flush (type 1),0.639223
3 to a straight flush (type 1),0.637373
3 to a straight flush (type 1),0.636448
3 to a straight flush (type 1),0.635523
3 to a straight flush (type 1),0.633673
3 to a straight flush (type 1),0.632747
3 to a straight flush (type 1),0.629972
3 to a straight flush (type 1),0.628122
3 to a straight flush (type 1),0.625347
Suited QJ,0.624545
3 to a straight flush (type 1),0.624422
3 to a straight flush (type 1),0.622572
3 to a straight flush (type 1),0.621647
3 to a straight flush (type 1),0.620722
Suited QJ,0.620598
3 to a straight flush (type 1),0.618871
3 to a straight flush (type 1),0.617946
Suited QJ,0.616651
3 to a straight flush (type 1),0.615171
Suited QJ,0.613938
Suited QJ,0.613691
Suited QJ,0.612704
Suited QJ,0.609991
Suited QJ,0.609744
Suited QJ,0.607894
3 to a straight flush (type 1),0.606846
Suited KQ or KJ,0.60629
Suited QJ,0.606044
3 to a straight flush (type 1),0.60592
Suited QJ,0.603947
3 to a straight flush (type 1),0.603145
Suited QJ,0.603084
Suited KQ or KJ,0.602344
Suited QJ,0.60037
Suited QJ,0.600123
Suited QJ,0.6
Suited KQ or KJ,0.598397
Suited QJ,0.597286
Suited QJ,0.59704
Suited QJ,0.596423
Suited QJ,0.596053
"4 to an inside straight, 4 high cards",0.595745
Suited KQ or KJ,0.595683
Suited KQ or KJ,0.595436
Suited QJ,0.59334
Suited QJ,0.593093
Suited KQ or KJ,0.591736
Suited KQ or KJ,0.589639
Suited QJ,0.589393
Suited KQ or KJ,0.588776
"Suited AK, AQ, or AJ",0.588036
Suited QJ,0.586432
Suited KQ or KJ,0.585816
Suited KQ or KJ,0.585692
"Suited AK, AQ, or AJ",0.584089
Suited KQ or KJ,0.581745
Suited KQ or KJ,0.579032
Suited KQ or KJ,0.578785
"Suited AK, AQ, or AJ",0.577428
Suited KQ or KJ,0.575085
"Suited AK, AQ, or AJ",0.574468
Suited KQ or KJ,0.572125
"Suited AK, AQ, or AJ",0.571385
"Suited AK, AQ, or AJ",0.567438
"Suited AK, AQ, or AJ",0.560777
"Suited AK, AQ, or AJ",0.557817
3 to a straight flush (type 1),0.543016
3 to a straight flush (type 2),0.543016
3 to a straight flush (type 1),0.540241
3 to a straight flush (type 2),0.540241
3 to a straight flush (type 1),0.539315
3 to a straight flush (type 2),0.539315
3 to a straight flush (type 1),0.537465
3 to a straight flush (type 2),0.537465
3 to a straight flush (type 1),0.53654
3 to a straight flush (type 2),0.53654
3 to a straight flush (type 1),0.533765
3 to a straight flush (type 2),0.533765
"4 to an inside straight, 3 high cards",0.531915
3 to a straight flush (type 1),0.528215
3 to a straight flush (type 2),0.528215
3 to a straight flush (type 1),0.525439
3 to a straight flush (type 2),0.525439
3 to a straight flush (type 1),0.524514
3 to a straight flush (type 2),0.524514
3 to a straight flush (type 2),0.522664
3 to a straight flush (type 1),0.521739
3 to a straight flush (type 2),0.521739
3 to a straight flush (type 1),0.518964
3 to a straight flush (type 2),0.518964
Suited TJ,0.515325
Unsuited JQK,0.515264
Suited TJ,0.511378
Unsuited JQ,0.509837
3 to a straight flush (type 2),0.509713
Suited TJ,0.507431
3 to a straight flush (type 1),0.506938
3 to a straight flush (type 2),0.506938
Unsuited JQ,0.50589
Suited TJ,0.504718
Suited TJ,0.504471
Suited TJ,0.503484
Unsuited JQ,0.501943
Suited TJ,0.500771
Suited TJ,0.500524
Unsuited JQ,0.499229
Unsuited JQ,0.498982
Suited TJ,0.498674
